id,name,slug,batch_name,one_liner,website,year_founded,team_size,location,city,country,linkedin_url,twitter_url,github_url
29656,Leeroo,leeroo,Spring 2025,Trainable Deep Agents,https://www.leeroo.com/,2024,3,,,,https://www.linkedin.com/company/leeroo,https://x.com/LeerooAI,https://github.com/Leeroo-AI
29662,Atum Works,atum-works,Spring 2025,Gigascale Nanomanufacturing,https://atum.works/,2024,3,Mountain View,Mountain View,US,https://linkedin.com/company/atum-works,https://twitter.com/atumworks,
29666,Willow,willow,Spring 2025,Powering the future of voice-first computing,https://willowvoice.com/,2025,2,Palo Alto,Palo Alto,US,https://www.linkedin.com/company/willowvoice/,https://x.com/WillowVoiceAI,
30173,Tropir,tropir,Spring 2025,Traceback why your AI failed,https://www.tropir.com/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/tropir/,https://x.com/tropir_,
30191,Partcl,partcl,Spring 2025,Design a chip in minutes,https://partcl.com/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/partcl,,https://github.com/partcleda
30329,Waffle,waffle,Spring 2025,Vibe code web apps,https://www.waffle.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/waffle-ai,https://x.com/waffledotai,
30366,Blaxel,blaxel,Spring 2025,AWS for AI Agents,https://blaxel.ai,2024,6,San Francisco,San Francisco,US,https://www.linkedin.com/company/blaxel-ai,https://x.com/blaxelAI,https://github.com/Beamlit
30367,QFEX,qfex,Spring 2025,24/7 Global Stock Exchange,https://qfex.com,2025,2,,,,https://www.linkedin.com/company/entimox,https://x.com/TradeQFEX,https://github.com/QFEX-org
30384,Chestnut,chestnut,Spring 2025,The first AI mortgage lender,https://chestnutmortgage.com/,2025,1,San Francisco,San Francisco,US,https://www.linkedin.com/company/chestnutmortgage,,
30399,Frekil,frekil,Spring 2025,Scale AI for Medical Scans,https://www.frekil.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/frekil,,
30400,Plexe,plexe,Spring 2025,Open-source agent that builds ML models from a prompt,https://plexe.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/plexe-ai/,,https://github.com/plexe-ai/
30403,Aravolta,aravolta,Spring 2025,"Software to monitor, control, and optimize data centers.",https://www.aravolta.com/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/centralaxis,https://x.com/CentralAxis_X25,
30404,Vybe,vybe,Spring 2025,Lovable for internal apps,https://www.vybe.build,2025,2,San Francisco,San Francisco,US,,https://x.com/vybe_build,
30405,nao Labs,nao-labs,Spring 2025,Cursor for data teams.,https://getnao.io/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/getnao/,,https://github.com/getnao
30406,BitBoard,bitboard,Spring 2025,The AI workforce for healthcare operations.,https://bitboard.work/,2025,2,San Francisco,San Francisco,US,,,
30407,Golf,golf,Spring 2025,Open-source platform for building production MCP servers,https://golf.dev/,2025,2,,,,https://www.linkedin.com/company/106327716,,https://github.com/golf-mcp
30409,Notus Autonomous Systems,notus-autonomous-systems,Spring 2025,Swarm robotics and full AI-command hierarchy integration,http://www.notussystems.com/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/notus-systems/,,
30411,cubic,cubic,Spring 2025,AI-powered code review platform,https://cubic.dev/,2025,2,"London, United Kingdom",London,GB,,,
30415,Avallon AI,avallon-ai,Spring 2025,AI agents for insurance claims operations,https://www.avallon.ai/,2025,3,,,,https://linkedin.com/company/avallon,https://x.com/AvallonAI,https://github.com/Avallon-Labs
30417,GroundControl,groundcontrol,Spring 2025,Vertical AI for highly-regulated manufacturing,https://rungroundcontrol.com/,2024,4,,,,https://www.linkedin.com/company/groundcontrol-software/,,https://github.com/groundcontrol-software
30418,Kanava AI,kanava-ai,Spring 2025,Your First AI Sales Hire for Wholesale Distributors,https://kanava.ai/,2025,2,San Francisco,San Francisco,US,,,
30419,Minerva,minerva,Spring 2025,"Instant, flawless AI accountant",https://www.tryminerva.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/minervaintelligence,,
30420,Cua,cua,Spring 2025,Docker Container for Computer-Use Agents on macOS,https://trycua.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/cua-ai,https://x.com/trycua,https://github.com/trycua/cua
30421,SynthioLabs,synthiolabs,Spring 2025,World's first AI Medical Rep for Pharma GTM,https://synthiolabs.com/,2024,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/synthiolabs/,https://x.com/SynthioLabs,
30422,Galen AI,galen-ai,Spring 2025,"AI agent for healthcare, powered by clinical and wearable data.",https://www.galenai.com/,2025,2,,,,https://www.linkedin.com/company/galen-ai-inc/about/,,
30425,Auctor,auctor,Spring 2025,AI for best-in-class pre-sales and delivery teams.,https://getauctor.com,2025,4,San Francisco,San Francisco,US,https://www.linkedin.com/company/getauctor,,
30426,Approval AI,approval-ai,Spring 2025,"AI that shops your mortgage, negotiates it, and wins",https://getapproval.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/approval-ai/,https://x.com/approval_ai,
30427,Anvil,anvil,Spring 2025,Optimize your brand's visibility within LLMs,https://joinanvil.com,2024,2,New York,New York,US,https://www.linkedin.com/company/anvil-analytics/,,
30428,Capacitive,capacitive,Spring 2025,The enterprise data gateway company.,https://capacitive.ai/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/capacitive/,,
30429,Claim Health,claim-health,Spring 2025,The first AI revenue platform for post-acute healthcare,https://www.claimhealth.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/claim-health,,
30430,Almond,almond-2,Spring 2025,AI robots for high-mix pick & place automation,https://almondbot.com/,2025,2,,,,https://www.linkedin.com/company/almond-inc,https://x.com/Almond_Corp,https://github.com/orgs/almond-bot
30431,Chonkie,chonkie,Spring 2025,Make Documents AI Ready,https://www.chonkie.ai,2025,2,,,,,https://x.com/ChonkieAI,https://github.com/chonkie-inc
30432,HelixDB,helixdb,Spring 2025,A graph-vector database for building RAG and AI.,https://helix-db.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/helixdb/,https://x.com/hlx_db,https://github.com/HelixDB/helix-db
30433,The Robot Learning Company,the-robot-learning-company,Spring 2025,API to the Physical World,https://www.robot-learning.co/,2025,1,San Francisco,San Francisco,US,https://www.linkedin.com/company/the-robot-learning-company/,https://x.com/RobotLearningCo,https://github.com/robot-learning-co
30434,Zeon Systems,zeon-systems,Spring 2025,AI-powered robotics for scientific lab automation.,https://www.zeonsystems.ai/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/zeon-systems/,https://x.com/zeonsystems,
30435,Zenobia Pay,zenobia-pay,Spring 2025,Bank transfers as payments for luxury retailers.,https://zenobiapay.com,2025,2,New York,New York,US,https://linkedin.com/company/zenobia-pay,https://x.com/zenobia_pay,https://github.com/zenobia-pay
30437,Kaelio,kaelio,Spring 2025,Analytics copilot for healthcare organizations,https://kaelio.com/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/kaelio-ai,https://x.com/KaelioAI,
30438,Beluga Labs,beluga-labs,Spring 2025,Rippling for content creators,https://www.belugalabs.ai/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/beluga-labs-ai/,https://x.com/belugalabsai,https://github.com/belugaworks
30439,Clarm,clarm,Spring 2025,Zero hallucination AI Deep Research agents,https://www.clarm.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/clarm,https://x.com/clarm_ai,
30440,Sim Studio,simstudio,Spring 2025,The UI to build AI agents,https://www.simstudio.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/simstudioai,https://x.com/simstudioai,https://github.com/simstudioai/sim
30441,stratify,stratify,Spring 2025,AI agents that help you understand your customers' needs,https://www.trystratify.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/getstratify,,
